table,field,ddl_declaration,ddl_not_null,source_path,source_line,manifest_planes,build_disposition,capability,recommended_timing,recommended_owner,recommendation
ai.ai_action_policy,doc_class,text,False,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_action_policy,autonomy_level,text DEFAULT 'suggest'::text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_action_policy,min_confidence_for_auto,"numeric(5,4)",False,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_action_policy,requires_human_confirmation,boolean DEFAULT true NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_action_policy,override_policy_definition_id,uuid,False,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_action_policy,is_active,boolean DEFAULT true NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_action_policy,effective_from,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_action_policy,effective_to,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_action_policy,created_at,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_action_policy,created_by,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_action_policy,updated_at,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_action_policy,updated_by,uuid,False,server/db/ddl/common/ai/03_tables.sql,5,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_confidence_threshold,id,uuid DEFAULT shared.uuidv7() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_confidence_threshold,tenant_id,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_confidence_threshold,action_code,text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_confidence_threshold,doc_class,text,False,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_confidence_threshold,model_id,text,False,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_confidence_threshold,min_for_suggest,"numeric(5,4) DEFAULT 0.5000 NOT NULL",True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_confidence_threshold,min_for_assist,"numeric(5,4) DEFAULT 0.7000 NOT NULL",True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_confidence_threshold,min_for_auto,"numeric(5,4) DEFAULT 0.9000 NOT NULL",True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_confidence_threshold,drift_alert_below,"numeric(5,4)",False,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_confidence_threshold,drift_window_hours,smallint DEFAULT 24 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_confidence_threshold,is_active,boolean DEFAULT true NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_confidence_threshold,created_at,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_confidence_threshold,created_by,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_confidence_threshold,updated_at,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_confidence_threshold,updated_by,uuid,False,server/db/ddl/common/ai/03_tables.sql,29,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_drift_baseline,id,uuid DEFAULT shared.uuidv7() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_drift_baseline,tenant_id,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_drift_baseline,action_code,text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,doc_class,text,False,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,model_id,text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,baseline_date,date DEFAULT CURRENT_DATE NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,sample_size,integer NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,mean_confidence,"numeric(7,6) NOT NULL",True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,std_dev_confidence,"numeric(7,6) NOT NULL",True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,p5_confidence,"numeric(7,6)",False,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,p95_confidence,"numeric(7,6)",False,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,feature_stats,jsonb,False,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,is_current,boolean DEFAULT false NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,superseded_at,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,superseded_by_id,uuid,False,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.ai_drift_baseline,created_at,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_drift_baseline,created_by,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_drift_baseline,updated_at,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.ai_drift_baseline,updated_by,uuid,False,server/db/ddl/common/ai/03_tables.sql,53,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_conversation_retention_policy,tenant_id,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_conversation_retention_policy,retention_days,integer NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_conversation_retention_policy,revision,integer DEFAULT 1 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_conversation_retention_policy,status,text DEFAULT 'active'::text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_conversation_retention_policy,effective_from,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_conversation_retention_policy,effective_to,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_conversation_retention_policy,created_at,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_conversation_retention_policy,created_by,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_conversation_retention_policy,updated_at,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_conversation_retention_policy,updated_by,uuid,False,server/db/ddl/common/ai/03_tables.sql,81,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential,id,uuid DEFAULT shared.uuidv7() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential,tenant_id,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential,provider_id,text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_provider_credential,encrypted_secret,text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_provider_credential,key_version,integer NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_provider_credential,rotation_epoch,integer DEFAULT 1 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_provider_credential,status,text DEFAULT 'active'::text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential,activated_at,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_provider_credential,revoked_at,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Authorized reviewer / domain service,Evidence or calculated outcome; supplier cannot self-approve or set verified flags.
ai.atlas_tenant_provider_credential,created_at,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential,created_by,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential,updated_at,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential,updated_by,uuid,False,server/db/ddl/common/ai/03_tables.sql,96,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential_epoch,tenant_id,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,114,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential_epoch,provider_id,text NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,114,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_provider_credential_epoch,rotation_epoch,integer DEFAULT 1 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,114,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_provider_credential_epoch,revoked,boolean DEFAULT false NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,114,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Authorized reviewer / domain service,Evidence or calculated outcome; supplier cannot self-approve or set verified flags.
ai.atlas_tenant_provider_credential_epoch,updated_at,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,114,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_provider_credential_epoch,updated_by,uuid DEFAULT '00000000-0000-0000-0000-000000000000'::uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,114,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_quota_policy,tenant_id,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_quota_policy,max_requests,bigint NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_policy,max_input_tokens,bigint NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_policy,max_output_tokens,bigint NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_policy,window_seconds,integer NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_policy,revision,integer DEFAULT 1 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_policy,created_at,timestamp with time zone DEFAULT now() NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_quota_policy,created_by,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_quota_policy,updated_at,timestamp with time zone,False,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_quota_policy,updated_by,uuid,False,server/db/ddl/common/ai/03_tables.sql,123,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_quota_window,tenant_id,uuid NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,138,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System-managed at record/event creation or change,Authorized service,"Never an editable onboarding question; preserve validation, provenance and concurrency controls."
ai.atlas_tenant_quota_window,window_started_at,timestamp with time zone NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,138,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_window,window_ends_at,timestamp with time zone NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,138,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_window,used_requests,bigint DEFAULT 0 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,138,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_window,used_input_tokens,bigint DEFAULT 0 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,138,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_window,used_output_tokens,bigint DEFAULT 0 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,138,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
ai.atlas_tenant_quota_window,reserved_input_tokens,bigint DEFAULT 0 NOT NULL,True,server/db/ddl/common/ai/03_tables.sql,138,"neon,mesh,studio",Source definition; verify deployment separately,Platform supporting data,System operation / configuration,Platform services / administrators,No supplier intake field; retain normal authority and lifecycle.
